PMY,BMY
21877.34965,5692.272045
21410.38381,5570.772108
20888.93862,5435.097178
20875.31879,5431.55343
21173.00951,5509.00964
21412.3295,5571.278358
21758.6625,5661.390811
25087.73981,6527.584111
26784.38237,6969.033882
27920.66591,7264.683728
28169.71436,7329.483695
27492.61389,7153.308786
28368.17484,7381.121168
28973.28475,7538.564836
28877.94589,7513.758599
27947.90559,7271.771225
26068.36808,6782.733979
25410.72452,6611.621567
27052.88772,7038.896346
26572.30205,6913.852661
25677.28418,6680.977781
25151.94761,6544.290352
23603.17757,6141.315562
22208.11712,5778.3345
21385.08983,5564.190861
21034.86545,5473.065909
20540.65993,5344.478475
20069.80271,5221.966039
20651.56432,5373.33471
20962.87488,5454.334668
21402.60105,5568.747109
24640.23088,6411.146672
25922.44125,6744.765248
27572.38722,7174.065025
27249.40252,7090.027569
26595.65034,6919.927657
27718.31405,7212.033756
28169.71436,7329.483695
28183.3342,7333.027443
27447.863,7141.665042
25554.70565,6649.084048
24683.03608,6422.284166
26940.03765,7009.533861
26718.22887,6951.821391
25685.06695,6683.00278
25089.6855,6528.090361
23696.57074,6165.615549
22342.3698,5813.265732
21579.65893,5614.815835
21153.5526,5503.947143
20558.17115,5349.034723
20206.00108,5257.403521
20647.67294,5372.322211
20939.52659,5448.259671
21422.05796,5573.809606
24542.94633,6385.834185
26152.03279,6804.502717
27517.90787,7159.890033
27416.73194,7133.565047
26510.03993,6897.652669
26893.34106,6997.383867
28043.24445,7296.577462
28136.63761,7320.877449
27494.55958,7153.815036
25453.52972,6622.759062
25150.00192,6543.784103
26667.64091,6938.658898
26111.17328,6793.871473
25218.10111,6561.502844
24978.78111,6499.234126
23922.2709,6224.340519
22575.85272,5874.0157
21826.76169,5679.109552
21217.7604,5520.653384
20326.63392,5288.791004
19970.57247,5196.147302
20073.69409,5222.978538
20400.57018,5308.028494
19807.13442,5153.622324
21937.66607,5707.965787
23324.94376,6068.921849
24725.84128,6433.42166
